gameID,away_team,away_score,home_team,home_score,
0,Boston Celtics,99,Cleveland Cavaliers,102,
1,Houston Rockets,122,Golden State Warriors,121,
2,Milwaukee Bucks,108,Boston Celtics,100,
3,Atlanta Hawks,117,Dallas Mavericks,111,
4,Charlotte Hornets,90,Detroit Pistons,102,
5,Brooklyn Nets,131,Indiana Pacers,140,
6,New Orleans Pelicans,91,Memphis Grizzlies,103,
7,Miami Heat,109,Orlando Magic,116,
8,Portland Trail Blazers,124,Phoenix Suns,76,
9,Houston Rockets,105,Sacramento Kings,100,
10,Minnesota Timberwolves,99,San Antonio Spurs,107,
11,Denver Nuggets,96,Utah Jazz,106,
12,Philadelphia 76ers,115,Washington Wizards,120,
13,Los Angeles Clippers,108,Los Angeles Lakers,92,
14,New York Knicks,84,Oklahoma City Thunder,105,
15,Chicago Bulls,100,Toronto Raptors,117,
16,Orlando Magic,121,Brooklyn Nets,126,
17,Atlanta Hawks,91,Charlotte Hornets,109,
18,Sacramento Kings,93,Dallas Mavericks,88,
19,Portland Trail Blazers,114,Indiana Pacers,96,
20,Cleveland Cavaliers,116,Milwaukee Bucks,97,
21,Utah Jazz,97,Minnesota Timberwolves,100,
22,Golden State Warriors,128,New Orleans Pelicans,120,
23,Boston Celtics,102,Philadelphia 76ers,92,
24,Los Angeles Lakers,132,Phoenix Suns,130,
25,Detroit Pistons,111,Washington Wizards,115,
26,San Antonio Spurs,87,Chicago Bulls,77,
27,Orlando Magic,114,Cleveland Cavaliers,93,
28,Sacramento Kings,79,Denver Nuggets,96,
29,Dallas Mavericks,91,Houston Rockets,107,
30,Phoenix Suns,88,Los Angeles Clippers,130,
31,Golden State Warriors,101,Memphis Grizzlies,111,
32,Indiana Pacers,108,Miami Heat,112,
33,Portland Trail Blazers,110,Milwaukee Bucks,113,
34,Detroit Pistons,111,New York Knicks,107,
35,Philadelphia 76ers,94,Toronto Raptors,128,
36,Oklahoma City Thunder,87,Utah Jazz,96,
37,Atlanta Hawks,104,Brooklyn Nets,116,
38,New Orleans Pelicans,119,Los Angeles Lakers,112,
39,Minnesota Timberwolves,115,Oklahoma City Thunder,113,
40,Golden State Warriors,133,Dallas Mavericks,103,
41,Washington Wizards,109,Denver Nuggets,104,
42,Philadelphia 76ers,97,Detroit Pistons,86,
43,Memphis Grizzlies,98,Houston Rockets,90,
44,Atlanta Hawks,93,Miami Heat,104,
45,Charlotte Hornets,94,Milwaukee Bucks,103,
46,Sacramento Kings,115,Phoenix Suns,117,
47,Toronto Raptors,97,San Antonio Spurs,101,
48,New York Knicks,89,Boston Celtics,110,
49,Chicago Bulls,112,Cleveland Cavaliers,119,
50,Utah Jazz,84,Los Angeles Clippers,102,
51,Indiana Pacers,130,Minnesota Timberwolves,107,
52,Brooklyn Nets,121,Orlando Magic,125,
